"PRODUCT_ID","PRODUCT_NAME","PRODUCT_CATEGORY","PRODUCT_TYPE","PRODUCT_VALUE","PRODUCT_DESC","SYS_CODE","NET_TYPE","UPDATE_TIME","PROVINCE_CODE","DEAL_TYPE","START_DATE","END_DATE","PRODUCT_MODE","PRODUCT_TYPE_CODE","PRODUCT_NICK_NAME","BUSINESS_TAG","BUSINESS_TAG_DESC","BUSINESS_GROUP","PRODUCT_OBJ_TYPE","REMARK","EFFECT_TAG"
"90151624","小橙卡","16","4GDDC","56","小橙卡:月费56元，套餐包含国内流量3GB，国内语音300分钟，国内接听免费，短信（全种类不包含国际短信）只赠送激活当月50条；套餐超出及其他业务收费：国内语音(元/分钟)0.1元，短彩信（元/条）0.1元，国内流量超出后10元/GB（当月有效、自动续订），包含来显。","2","2","2017/2/17 11:23:39","98","0","2017/2/17 11:23:39","2049/12/31","00","","","","","","0","","1"
"90166048","招联牛卡","16","4GZL","39","招联牛卡-39元/月, 月租39元，套内： 2GB全国流量，150分钟全国语音，国内接听免费，赠送来电显示；套外：全国流量10元/GB（当月有效，自动续订），全国语音0.1元/分钟，全国短、彩信0.1元/条。","2","2","2017/3/28 9:21:10","98","1","2017/3/23 11:44:45","2050/12/31 23:59:59","00","4G000001","招联牛卡","","","","0","","1"
"90165530","微博V+卡","16","4GSINA","19","微博V+卡-19元/月, 月租19元，套内：定向流量新浪微博专属流量免费。1GB全国流量，国内接听免费，赠送来电显示；套外：全国流量12元/GB，全国语音0.1元/分钟，全国短、彩信0.1元/条。","2","2","2017/3/30 9:35:27","98","1","2017/3/20 10:14:33","2050/12/31 23:59:59","00","4G000001","微博V+卡","","","","0","","1"
"90163362","微博金V卡","16","4GSINA","199","微博金V卡-199元/月, 月租199元，套内：定向流量新浪微博专属流量免费。20GB全国流量，1000分钟全国语音，国内接听免费，赠送来电显示；套外：全国流量10元/10GB，全国语音0.1元/分钟，全国短、彩信0.1元/条。","2","2","2017/3/30 9:36:43","98","1","2017/3/6 11:24:13","2050/12/31 23:59:59","00","4G000001","微博金V卡","","","","0","","1"
"90163777","饿了么小饿卡","16","4GELM","56","饿了么小饿卡: 月租56元，套内：300分钟国内语音，3GB国内流量，国内接听免费，赠送来电显示；套外：国内语音0.1元/分钟，短、彩信0.1元/条，国内流量10元/GB(当月有效，自动续订)。","2","2","2017/3/30 10:20:34","98","1","2017/3/13 14:49:30","2050/12/31 23:59:59","00","4G000001","饿了么小饿卡","","","","0","","1"
"90163763","饿了么大饿卡","16","4GELM","96","饿了么大饿卡: 月租96元，套内：600分钟国内语音，6GB国内流量，国内接听免费，赠送来电显示；套外：国内语音0.1元/分钟，短、彩信0.1元/条，国内流量10元/GB(当月有效，自动续订)。","2","2","2017/3/30 10:20:09","98","1","2017/3/13 9:59:18","2050/12/31 23:59:59","00","4G000001","饿了么大饿卡","","","","0","","1"
"90163729","蜂鸟卡","16","4GFK","56","蜂鸟卡：月租56元，套餐包含：蜂鸟APP内发起通话免费，国内语音400分钟，流量3GB（全国2GB，省内4GB），国内接听免费；套餐超出及其他业务收费：内流量超出后10元/GB（自动续订，当月有效），国内语音0.1元/分钟，短彩信0.1元/条，赠送来显。","2","2","2017/3/30 10:16:42","98","1","2017/3/9 15:30:53","2050/12/31 23:59:59","00","4G000001","蜂鸟卡","","","","0","","1"
"90163731","蜂王卡","16","4GFK","96","蜂王卡：月租96元，套餐包含：蜂鸟APP内发起通话免费，国内语音1000分钟，流量6GB（全国2GB，省内4GB），国内接听免费；套餐超出及其他业务收费：内流量超出后10元/GB（自动续订，当月有效），国内语音0.1元/分钟，短彩信0.1元/条，赠送来显。","2","2","2017/3/30 10:17:02","98","1","2017/3/9 15:32:39","2050/12/31 23:59:59","00","4G000001","蜂王卡","","","","0","","1"
"90163378","大映卡","16","4GYK","59","大映卡：月费59元，套餐包含国内流量3GB，国内语音200分钟，国内接听免费；套餐超出及其他业务收费：国内语音(元/分钟)0.1元，短彩信（元/条）0.1元，国内流量超出后省内：1元/500MB 省外：2元/500MB（当日有效，不足10M按0.1元/M计费，自动续订），包含来显。","2","2","2017/3/13 10:30:19","98","1","2017/3/6 16:30:33","2050/12/31 23:59:59","00","4G000001","大映卡","","","","0","","1"
"90163396","小映卡","16","4GYK","29","小映卡：月费29元，套餐包含国内流量1GB，国内接听免费；套餐超出及其他业务收费：国内语音(元/分钟)0.1元，短彩信（元/条）0.1元，国内流量超出后省内：1元/500MB 省外：2元/500MB（当日有效，不足10M按0.1元/M计费，自动续订），包含来显。","2","2","2017/3/13 10:32:36","98","1","2017/3/7 8:21:19","2050/12/31 23:59:59","00","4G000001","小映卡","","","","0","","1"
